Article Size.1;Article Size.2.2.1;Article Size.2.2.2;Article Name;Load Index.2;Speed Index;Article Price;Cube Value;Total Price
195/50;R15; 82V;PIRELLI CINTURATO P1 VERDE;475 kg;max. 240 km/h;74,47;B;297,88
195/50;R15; 82H;CONTINENTAL ULTRACONTACT;475 kg;max. 210 km/h;84,79;A;339,16
195/50;R15; 82V;BRIDGESTONE TURANZA T005;475 kg;max. 240 km/h;76,37;A;305,48
195/50;R15; 82V;VREDESTEIN ULTRAC (NEU);475 kg;max. 240 km/h;74,85;A;299,4
195/50;R15; 82V;MICHELIN PRIMACY 4;475 kg;max. 240 km/h;97,46;A;389,84
195/50;R15; 82V;FIRESTONE ROADHAWK;475 kg;max. 240 km/h;66,13;A;264,52
195/50;R15; 82V;UNIROYAL RAINSPORT 5;475 kg;max. 240 km/h;67,81;A;271,24
195/50;R15; 82V;GOODYEAR EFFICIENTGRIP PERFORMANCE;475 kg;max. 240 km/h;69,7;A;278,8
195/50;R15; 82V;DUNLOP SP SPORT BLURESPONSE;475 kg;max. 240 km/h;79;A;316
195/50;R15; 82V;FALKEN ZE-310 ZIEX ECORUN;475 kg;max. 240 km/h;67,92;A;271,68
195/50;R15; 82V;GT RADIAL FE2;475 kg;max. 240 km/h;50,35;A;201,4
195/50;R15; 82H;FALKEN SN-110 SINCERA ECORUN;475 kg;max. 210 km/h;65,8;A;263,2
195/50;R15; 86V;MAXXIS HP-5 PREMITRA 5; 530 kg;max. 240 km/h;54,45;A;217,8
195/50;R15; 82V;HANKOOK K125 Ventus Prime3;475 kg;max. 240 km/h;65,23;A;260,92
195/50;R15; 82V;MICHELIN PILOT SPORT 3;475 kg;max. 240 km/h;93,84;A;375,36
195/50;R15; 82V;KUMHO HS52 ECSTA;475 kg;max. 240 km/h;52,91;A;211,64
195/50;R15; 82V;MASSIMO OTTIMA PLUS;475 kg;max. 240 km/h;54,4;B;217,6
195/50;R15; 82H;MAXXIS MECOTRA 3;475 kg;max. 210 km/h;53,74;B;214,96
195/50;R15; 82V;TRISTAR ECOPOWER 4 (F209);475 kg;max. 240 km/h;63,38;B;253,52
195/50;R15; 82H;MINERVA F209;475 kg;max. 210 km/h;47,53;B;190,12
195/50;R15; 82V;SEMPERIT SPEED-LIFE 3;475 kg;max. 240 km/h;68,03;B;272,12
195/50;R15; 82H;LAUFENN S-FIT EQ+ (LK01);475 kg;max. 210 km/h;54,02;B;216,08
195/50;R15; 82V;FULDA ECOCONTROL HP;475 kg;max. 240 km/h;54,16;B;216,64
195/50;R15; 82T;CONTINENTAL PREMIUM CONTACT 2;475 kg;max. 190 km/h;86,73;B;346,92
195/50;R15; 82H;KLEBER Dynaxer HP4;475 kg;max. 210 km/h;64,05;B;256,2
195/50;R15; 82V;TOYO PROXES TR1;475 kg;max. 240 km/h;57,24;B;228,96
195/50;R15; 82V;RIKEN ROAD PERFORMANCE;475 kg;max. 240 km/h;56,11;C;224,44
195/50;R15; 82H;SUPERIA TIRES ECOBLUE HP;475 kg;max. 210 km/h;50,42;C;201,68
195/50;R15; 82H;SAVA INTENSA HP;475 kg;max. 210 km/h;61,29;C;245,16
195/50;R15; 86H;BERLIN TIRES SUMMER HP ECO; 530 kg;max. 210 km/h;46,34;C;185,36
195/50;R15; 82H;LAUFENN S-FIT EQ (LK01);475 kg;max. 210 km/h;49,84;C;199,36
