Article Size,Article Name,Load Index,Speed Index,Article Price,Cube Value,Total Price
225/45 R17 94Y,PIRELLI POWERGY,94 (670 kg),Y (max. 300 km/h),"87,37 €",A,"(349,48 €)"
225/45 R17 91Y,CONTINENTAL ULTRACONTACT,91 (615 kg),Y (max. 300 km/h),"96,35 €",A,"(385,40 €)"
225/45 R17 91W,BRIDGESTONE TURANZA 6,91 (615 kg),W (max. 270 km/h),"94,04 €",A,"(376,16 €)"
225/45 R17 94Y,HANKOOK K127B VENTUS S1 EVO3,94 (670 kg),Y (max. 300 km/h),"107,00 €",A,"(428,00 €)"
225/45 R17 91Y,BRIDGESTONE TURANZA T005,91 (615 kg),Y (max. 300 km/h),"103,31 €",A,"(413,24 €)"
225/45 R17 94W,YOKOHAMA BLUEARTH-GT AE51,94 (670 kg),W (max. 270 km/h),"86,39 €",A,"(345,56 €)"
225/45 R17 94W,DUNLOP SP SPORT BLURESPONSE,94 (670 kg),W (max. 270 km/h),"89,87 €",A,"(359,48 €)"
225/45 R17 91Y,HANKOOK K135 VENTUS PRIME4,91 (615 kg),Y (max. 300 km/h),"83,97 €",A,"(335,88 €)"
225/45 R17 94Y,PIRELLI P-ZERO (PZ4) (NEW) S.C.,94 (670 kg),Y (max. 300 km/h),"115,49 €",A,"(461,96 €)"
225/45 R17 94V,KLEBER Dynaxer UHP,94 (670 kg),V (max. 240 km/h),"77,62 €",A,"(310,48 €)"
225/45 R17 91Y,VREDESTEIN ULTRAC (NEU),91 (615 kg),Y (max. 300 km/h),"89,79 €",A,"(359,16 €)"
225/45 R17 91Y,GOODYEAR EAGLE F1 ASYMMETRIC 6,91 (615 kg),Y (max. 300 km/h),"91,89 €",A,"(367,56 €)"
225/45 R17 91W,HANKOOK K117 VENTUS S1 EVO2,91 (615 kg),W (max. 270 km/h),"89,04 €",A,"(356,16 €)"
225/45 R17 91Y,BF-GOODRICH ADVANTAGE,91 (615 kg),Y (max. 300 km/h),"118,08 €",A,"(472,32 €)"
225/45 R17 94V,TOYO PROXES COMFORT,94 (670 kg),V (max. 240 km/h),"77,86 €",A,"(311,44 €)"
225/45 R17 94W,MICHELIN PRIMACY 4+,94 (670 kg),W (max. 270 km/h),"105,81 €",A,"(423,24 €)"
225/45 R17 94Y,FALKEN FK520 AZENIS,94 (670 kg),Y (max. 300 km/h),"80,35 €",A,"(321,40 €)"
